Fecha,Reserva (hm3)
10/04/2019,74.94
11/04/2019,74.96
12/04/2019,74.91
13/04/2019,74.9
14/04/2019,74.81
15/04/2019,74.8
16/04/2019,74.76
17/04/2019,74.69
18/04/2019,74.61
19/04/2019,74.72
20/04/2019,74.72
21/04/2019,74.65
22/04/2019,74.79
23/04/2019,74.74
24/04/2019,74.87
25/04/2019,74.9
26/04/2019,75
27/04/2019,75.03
28/04/2019,75.11
29/04/2019,75.11
30/04/2019,75.07
01/05/2019,75.07
02/05/2019,75.07
03/05/2019,75.03
04/05/2019,75
05/05/2019,74.97
06/05/2019,74.9
07/05/2019,74.87
08/05/2019,74.79
09/05/2019,74.72
10/05/2019,74.62
11/05/2019,74.5
12/05/2019,74.41
13/05/2019,74.35
14/05/2019,74.24
15/05/2019,74.14
16/05/2019,74.03
17/05/2019,73.99
18/05/2019,73.83
19/05/2019,73.6
20/05/2019,73.52
21/05/2019,73.5
22/05/2019,73.41
23/05/2019,73.33
24/05/2019,73.16
25/05/2019,73.1
26/05/2019,73
27/05/2019,72.81
28/05/2019,72.79
29/05/2019,72.67
30/05/2019,72.46
31/05/2019,72.42
01/06/2019,72.32
02/06/2019,72.08
03/06/2019,72.08
04/06/2019,71.91
05/06/2019,71.81
06/06/2019,71.56
07/06/2019,71.54
08/06/2019,71.4
09/06/2019,71.28
10/06/2019,71.18
11/06/2019,71
12/06/2019,70.7
13/06/2019,70.71
14/06/2019,70.46
15/06/2019,70.43
16/06/2019,70.17
17/06/2019,70.17
18/06/2019,69.93
19/06/2019,69.89
20/06/2019,69.66
21/06/2019,69.59
22/06/2019,69.41
23/06/2019,69.31
24/06/2019,69.17
25/06/2019,68.94
26/06/2019,68.9
27/06/2019,68.67
28/06/2019,68.64
29/06/2019,68.48
30/06/2019,68.25
01/07/2019,68.19
02/07/2019,68.04
03/07/2019,67.82
04/07/2019,67.59
05/07/2019,67.5
06/07/2019,67.34
07/07/2019,67.14
08/07/2019,67.09
09/07/2019,66.93
10/07/2019,66.76
11/07/2019,66.54
12/07/2019,66.3
13/07/2019,66.3
14/07/2019,66.1
15/07/2019,65.99
16/07/2019,65.72
17/07/2019,65.56
18/07/2019,65.38
19/07/2019,65.26
20/07/2019,65.12
21/07/2019,64.95
22/07/2019,64.75
23/07/2019,64.59
24/07/2019,64.45
25/07/2019,64.28
26/07/2019,64.13
27/07/2019,63.93
28/07/2019,63.74
29/07/2019,63.54
30/07/2019,63.41
31/07/2019,63.16
01/08/2019,63.05
02/08/2019,62.83
03/08/2019,62.71
04/08/2019,62.48
05/08/2019,62.34
06/08/2019,62.13
07/08/2019,61.97
08/08/2019,61.77
09/08/2019,61.58
10/08/2019,61.36
11/08/2019,61.23
12/08/2019,60.99
13/08/2019,60.79
14/08/2019,60.61
15/08/2019,60.42
16/08/2019,60.26
17/08/2019,60.06
18/08/2019,59.86
19/08/2019,59.7
20/08/2019,59.54
21/08/2019,59.28
22/08/2019,59.2
23/08/2019,59.03
24/08/2019,58.86
